sound.files,selec,log(duration),log(meanfreq),log(sd),log(freq.median),log(freq.Q25),log(freq.Q75),sqrt(time.median),cubroot(time.Q25),log(time.Q75),log(skew),(sp.ent)^2,(time.ent)^2,sqrt(sfm),log(meandom),log10(mindom),log(maxdom),log(modindx),log(startdom),log(enddom),dfslope2,log(meanpeakf)
AK 26 june 2017 B11 5.wav,4,-0.433369946,-2.482564159,-0.853265571,-2.257837866,-1.848824378,-1.91447201,-0.153532135,-0.035260151,-0.397558332,-0.345498668,-0.587310459,-0.01282999,-1.511320938,-1.933765779,-1.149734516,-2.057806461,0.861589359,-1.420827698,-1.46860895,-0.102534192,-1.562543927
CN 04 Feb PR4.wav,2,-0.950415722,-2.473579517,0.303425439,-2.36625105,-1.890992653,-2.863586574,-0.398495938,0.141875819,-0.483326674,0.312698409,-1.287728945,-1.138224053,-1.434617324,-2.003235887,-1.404242672,-2.221608352,-0.983289693,-1.420827698,-1.930637756,-0.598197531,-1.612887965
CN 26 Apr B1.wav,4,-1.164026251,-2.473200499,0.223088352,-2.285560814,-1.917227092,-2.75931522,-0.555611754,0.061289899,-0.708394424,1.437041247,-2.307446554,-1.277707589,-1.546990439,-2.270161105,-1.149734516,-2.749004591,-0.983289693,-1.872217271,-1.66731295,0.063784,-1.612887965
CN 31 Oct B9.wav,4,-1.006585708,-2.431621768,-0.081149235,-2.322387502,-1.536583186,-2.98626672,-0.440647017,0.120399617,-0.542509632,2.236738792,-2.470605379,-1.123075287,-1.379424976,-1.884734825,-0.865164865,-2.333960084,-0.983289693,-1.516987657,-1.372885262,0.018835259,-1.715346082
AK 26 june 2017 B11 5.wav,15,-0.438096458,-2.429484806,-1.133657481,-1.926806224,-1.45881784,-2.425777153,-0.157398729,-0.036932339,-0.402538328,0.177852857,-1.358664033,0.082372922,-1.918425644,-1.665248098,-1.100808103,-1.796507167,-0.277030266,-1.76758954,-1.05502565,0.48371031,-1.366762494
EL_19Mar19_IndusRoad_7.wav,1,-0.774685118,-2.424809651,0.355892667,-2.327145941,-1.881945911,-2.824568527,-0.075377782,-0.001603716,-0.889936273,0.730430657,-1.548369508,-0.635427581,-0.837262507,-1.967386579,-1.351965032,-2.166391894,-0.983289693,-1.373568861,-1.876549119,-0.536635619,-1.512772007
EL_29_03_19_Kallang16.wav,5,-0.879269029,-2.416519129,-0.615879526,-2.021070211,-1.241593181,-2.716564524,-1.224510625,0.169375619,-1.242410956,1.540837513,-3.789191772,-1.06393947,-2.108747879,-1.641967195,-0.774836199,-2.057806461,-0.983289693,-1.516987657,-1.05502565,0.346834618,-1.463559345
hzb_200419_gbtbeast_BreakRushAgain.wav,10,-1.062247511,-2.412160151,-0.577904847,-2.052929668,-2.046488927,-1.855861216,-0.481822439,0.099320171,-1.435203934,-0.898703192,-0.4096527,-1.169442617,-1.041513279,-2.264889733,-1.565514893,-2.166391894,-0.983289693,-1.373568861,-2.097496755,-0.842316135,-2.267004107
sl_02Feb2019_gbtb_ClumpOfOttersCrowding1Fish.wav,9,-0.061490591,-2.412050532,0.137884252,-2.146588467,-1.929563074,-2.506664017,-0.140463323,-0.029613227,0.078238611,1.4162457,-1.523237658,0.573093146,-0.650042174,-1.655922586,-0.686596245,-2.004410363,-0.15286645,-1.234931593,-1.188130683,-0.00398339,-1.562543927
YN_14June19_Opp_Kallang_Riverside_Park_30.wav,13,-0.194699474,-2.397357399,-0.459315529,-2.331362466,-1.488126829,-3.020719818,-0.248102731,0.451768013,-0.062115078,1.665764081,-3.354081685,0.407603046,-1.483266035,-1.909890046,-0.911143831,-2.333960084,0.062919864,-1.665529623,-1.372885262,0.149349856,-1.715346082
